episode,epsilon,total_reward,steps,rolling_reward_100
1910,0.6182000000000001,2.7316181062682467,10,-0.08760906808830037
1911,0.618,0.20412554898475888,10,-0.06349084965373374
1912,0.6178,-3.265594880733437,10,-0.026566095193360235
1913,0.6175999999999999,1.7718380523240773,10,0.01827488097934664
1914,0.6174,-4.986061831466131,10,-0.03487779408406997
1915,0.6172,2.2552898502523386,10,-0.04920678886729331
1916,0.617,-1.0621644050028638,10,-0.08514272205242335
1917,0.6168,4.783226309949595,10,-0.042401186408764835
1918,0.6166,-1.4823888400350302,10,-0.02811437964369307
1919,0.6164000000000001,-5.822763648907798,10,-0.022620850200242487
1920,0.6162000000000001,-0.7972512542474186,10,-0.03657226814802549
1921,0.616,3.054841311369082,10,0.002179804338329765
1922,0.6158,-2.131056975414072,10,-0.02350065882707353
1923,0.6155999999999999,1.3539455716845268,10,-0.056194169077371965
1924,0.6154,-0.7778963303091424,10,-0.0881118441092073
1925,0.6152,0.7897138298997238,10,-0.08771626031626396
1926,0.615,-1.94368952710634,10,-0.11343733103394152
1927,0.6148,-2.7912360869595636,10,-0.1310287817016226
1928,0.6146,0.24675668591156696,10,-0.1743505465521678
1929,0.6144000000000001,-1.3486064777866438,10,-0.17750912241185893
1930,0.6142000000000001,-2.9671756296181617,10,-0.24187050672236107
1931,0.614,-1.9707244613215131,10,-0.2869803584409387
1932,0.6138,-1.420810268563248,10,-0.31294833836072455
1933,0.6135999999999999,1.1756722160520425,10,-0.3122160396244605
1934,0.6134,-0.32614551654131535,10,-0.31220705422249784
1935,0.6132,-0.39714701284996645,10,-0.3292408323536703
1936,0.613,0.10739540766607703,10,-0.35464025420238793
1937,0.6128,-3.3936905516364932,10,-0.37629788538148623
1938,0.6126,2.471706415479506,10,-0.3946878326431121
1939,0.6124,1.6065322630678618,10,-0.35338707221568816
1940,0.6122000000000001,-2.5404901388817853,10,-0.3755842333394581
1941,0.612,-5.375625298616097,10,-0.3863463053766934
1942,0.6118,-6.614209460601522,10,-0.4290195283838119
1943,0.6115999999999999,1.2831686012260357,10,-0.43927676842089936
1944,0.6113999999999999,-3.5114385333847906,10,-0.4891630829385957
1945,0.6112,-1.2280358624419785,10,-0.5376175494560029
1946,0.611,-0.8210661005982165,10,-0.5577133597414019
1947,0.6108,-1.813403066626249,10,-0.5521087455953116
1948,0.6106,2.752711747313275,10,-0.49509830529254467
1949,0.6104,1.1060029830934877,10,-0.48565882329897503
1950,0.6102000000000001,4.238524649635412,10,-0.4136338878373278
1951,0.61,0.7340778995706436,10,-0.41567729367865497
1952,0.6098,1.3130948033122307,10,-0.4237221785591835
1953,0.6095999999999999,1.8923260799371022,10,-0.440112462168204
1954,0.6093999999999999,-0.5756355830901287,10,-0.40574847326904134
1955,0.6092,1.692918452877029,10,-0.38201743943444405
1956,0.609,-3.421045710674828,10,-0.4002715196708158
1957,0.6088,-2.1991372436811862,10,-0.3661906555210752
1958,0.6086,-0.6975934015381711,10,-0.3388835025310604
1959,0.6084,-2.567395868566563,10,-0.36951525852427564
1960,0.6082000000000001,-0.9831999195179005,10,-0.3561547327799698
1961,0.608,3.945949228298639,10,-0.3151784277329039
1962,0.6078,5.164912830231092,10,-0.21845963774246602
1963,0.6075999999999999,3.0628449562560434,10,-0.17710389440354135
1964,0.6073999999999999,4.071660509712647,10,-0.11966223616452588
1965,0.6072,-3.639597098478706,10,-0.12547737405995527
1966,0.607,-4.290106341210579,10,-0.17241344026227456
1967,0.6068,0.2890339253151832,10,-0.19996588178685357
1968,0.6066,3.3792398743874354,10,-0.1788370083704355
1969,0.6064,0.15705854897542426,10,-0.13106489482620576
1970,0.6062000000000001,-5.5717119939026265,10,-0.15788307509350005
1971,0.606,-0.23054407955124923,10,-0.1595333094648526
1972,0.6058,-0.08440604194476475,10,-0.18431612210015832
1973,0.6056,1.5784275440112268,10,-0.18563525267754857
1974,0.6053999999999999,-1.8077790464460903,10,-0.20069512842292211
1975,0.6052,1.9777897452766295,10,-0.21209421835233475
1976,0.605,-2.109607941578203,10,-0.2349018114132965
1977,0.6048,5.477553443983053,10,-0.19291614009156
1978,0.6046,0.7625538907422725,10,-0.20933246388768534
1979,0.6044,2.6400741357171253,10,-0.18166708468731646
1980,0.6042000000000001,1.9140836480931425,10,-0.12231416084361121
1981,0.604,-3.9108550268397186,10,-0.18171568961896398
1982,0.6038,0.023788349021426236,10,-0.19940356386616498
1983,0.6036,-0.835542262248351,10,-0.24550447279750012
1984,0.6033999999999999,-3.4052821922016676,10,-0.28213166763301945
1985,0.6032,-2.8133446427206064,10,-0.3061424988793055
1986,0.603,-6.30008704244495,10,-0.3938884332715269
1987,0.6028,2.0411308442108074,10,-0.3537962983357741
1988,0.6026,1.4238930752211627,10,-0.3055313375148796
1989,0.6024,2.054846534713244,10,-0.29626356255435615
1990,0.6022000000000001,1.2344004074663855,10,-0.3062194953767798
1991,0.602,-0.7417014530931456,10,-0.3058197290564799
1992,0.6018,-2.4956978171431903,10,-0.3334255842143106
1993,0.6016,0.264690486436129,10,-0.3258854603542497
1994,0.6013999999999999,0.7476024575124227,10,-0.3354514930379581
1995,0.6012,-3.799949944663977,10,-0.38213484061971154
1996,0.601,-2.0944061893073638,10,-0.42056987995182804
1997,0.6008,2.161885706418226,10,-0.44378114985383305
1998,0.6006,-1.676346844138052,10,-0.444654548739318
1999,0.6004,1.1725183638837084,10,-0.42421385157593905
2000,0.6002000000000001,-0.2870466007392981,10,-0.4508353494520462
2001,0.6,-1.9316129542953664,10,-0.463360866294368
2002,0.5998,-0.924279213794913,10,-0.4895064615732461
2003,0.5996,-2.7613873164269265,10,-0.530858153801678
2004,0.5993999999999999,3.9647409400199614,10,-0.47360377761414163
2005,0.5992,-0.5123534199420119,10,-0.46760884607335385
2006,0.599,-0.7201343479415632,10,-0.4503005117500076
2007,0.5988,2.4017697572291974,10,-0.38531076093432026
2008,0.5986,2.949984112931629,10,-0.31526661720971366
2009,0.5984,1.527076333495859,10,-0.2822146326233718
2010,0.5982000000000001,0.9066793720939785,10,-0.3004640199651145
2011,0.598,-0.5877920112468573,10,-0.30838319556743066
2012,0.5978,-4.64097495330667,10,-0.322136996293163
2013,0.5976,-1.9257842033207546,10,-0.35911321884961134
2014,0.5973999999999999,0.3241906954510575,10,-0.3060106935804394
2015,0.5972,1.8241985965474212,10,-0.31032160611748866
2016,0.597,4.399459012088511,10,-0.25570537194657483
2017,0.5968,-0.9789412038096865,10,-0.3133270470841677
2018,0.5966,3.1850481851609236,10,-0.2666526768322081
2019,0.5964,4.070513421886715,10,-0.16771990612426305
2020,0.5962000000000001,0.3037743032043813,10,-0.15670965054974503
2021,0.596,1.9442869658378803,10,-0.167815194005057
2022,0.5958,0.05257946719142159,10,-0.1459788295790021
2023,0.5956,0.493143620502114,10,-0.15458684909082623
2024,0.5953999999999999,2.1278243843288283,10,-0.12552964194444652
2025,0.5952,-5.8811611393898,10,-0.19223839163734177
2026,0.595,2.767692720225571,10,-0.14512456916402264
2027,0.5948,-3.551563879173551,10,-0.15272784708616252
2028,0.5946,3.6304708761010893,10,-0.1188907051842673
2029,0.5944,-1.2600536469809045,10,-0.1180051768762099
2030,0.5942000000000001,-0.09207985580736883,10,-0.08925421913810197
2031,0.594,-1.0519624497820124,10,-0.08006659902270696
2032,0.5938,1.48645864576192,10,-0.0509939098794553
2033,0.5936,1.3936799581342805,10,-0.04881383245863291
2034,0.5933999999999999,-2.7281721365065112,10,-0.07283409865828487
2035,0.5932,-3.0219503877901097,10,-0.0990821324076863
2036,0.593,-5.741270215918687,10,-0.15756878864353394
2037,0.5928,-2.6105540872911095,10,-0.1497374240000801
2038,0.5926,1.5610289419389691,10,-0.1588441987354855
2039,0.5924,0.9142718156639292,10,-0.1657668032095248
2040,0.5922000000000001,0.5394842830294535,10,-0.13496705899041242
2041,0.5920000000000001,-0.02597776647767211,10,-0.08147058366902817
2042,0.5918,-0.7272380105324141,10,-0.022600869168337086
2043,0.5916,0.556582121373449,10,-0.029866733966862954
2044,0.5913999999999999,1.285340023775018,10,0.018101051604735133
2045,0.5912,4.384849368947104,10,0.07422990391862597
2046,0.591,-5.7774836950895505,10,0.02466572797371261
2047,0.5908,1.9145522495394358,10,0.061945281135369464
2048,0.5906,0.5191683557555662,10,0.03960984721979237
2049,0.5904,-2.319054088161287,10,0.005359276507244628
2050,0.5902000000000001,3.3179397052270057,10,-0.0038465729368394362
2051,0.5900000000000001,-0.04543792704860028,10,-0.011641731203031875
2052,0.5898,-1.1357538496659556,10,-0.03613021773281374
2053,0.5896,-1.5476715580195055,10,-0.07053019411237982
2054,0.5893999999999999,-0.4364700055673079,10,-0.06913853833715161
2055,0.5892,-3.773791738894299,10,-0.12380564025486489
2056,0.589,-6.128732868672149,10,-0.15088251183483808
2057,0.5888,-6.25971409417693,10,-0.1914882803397955
2058,0.5886,0.917058594994405,10,-0.17534176037446975
2059,0.5884,3.784243483957767,10,-0.11182536684922648
2060,0.5882000000000001,-7.492967232485645,10,-0.1769230399789039
2061,0.5880000000000001,0.4173832171344554,10,-0.2122087000905457
2062,0.5878,-2.4345243996523394,10,-0.2882030723893801
2063,0.5876,2.8573338452511843,10,-0.29025818349942867
2064,0.5873999999999999,0.2326066762818022,10,-0.32864872183373706
2065,0.5871999999999999,-2.030836528735898,10,-0.31256111613630905
2066,0.587,1.6750540147051491,10,-0.2529095125771518
2067,0.5868,-0.07390124753491456,10,-0.2565388643056527
2068,0.5866,-3.452866417928591,10,-0.324859927228813
